Parameter,Estimate,Std Error,T-Statistic,P-Value
Intercept,17.025237981808324,0.057867497460518245,294.21071808789173,0.0
C(Circuit)[T.australia],-2.20114676267147,0.0349955572342695,-62.89789152195555,0.0
C(Circuit)[T.azerbaijan],0.9746769904599727,0.03558000423788119,27.393953748388178,3.237325489958286e-165
C(Circuit)[T.belgium],-1.083745755627822,0.04096505545084559,-26.45537138179198,3.164808489775686e-154
C(Circuit)[T.emiliaromagna],1.0513577043043538,0.03604407116265892,29.168672416603805,4.843456302588873e-187
C(Circuit)[T.japan],-0.7682290090633856,0.036344249911434576,-21.137566766006817,3.591215843272878e-99
C(Circuit)[T.mexico],2.221605161715406,0.032174273651401866,69.04911625312195,0.0
C(Circuit)[T.monaco],6.65680689010569,0.035322017259625915,188.4605525549814,0.0
C(Circuit)[T.netherlands],0.8492597912696875,0.032748314286849524,25.93293150391921,2.8330081717800862e-148
C(Circuit)[T.saudiarabia],-1.7343147168076258,0.03629504399512871,-47.7837888015894,0.0
C(Circuit)[T.unitedkingdom],-0.03832094040912157,0.035497266328591466,-1.0795462403891016,0.280344292019979
Group Var,0.026012413301318822,0.012564177862636042,2.0703633445588023,0.03841833174874598
